Displacement/μm - ,Load/N - 
208.04,206.686
208.34,207.351
208.66,207.981
208.96,208.681
209.28,209.312
209.54,209.942
209.84,210.537
210.1,211.167
210.46,212.043
210.72,212.673
211.06,213.303
211.34,213.969
211.72,214.634
212.04,215.334
212.32,216.034
212.32,216.56
212.34,216.665
212.32,216.665
212.34,216.665
212.34,216.665
212.32,216.665
212.34,216.63
212.34,216.63
212.34,216.63
212.34,216.595
212.34,216.595
212.34,216.56
212.34,216.56
212.32,216.525
212.34,216.525
212.34,216.525
212.34,216.525
212.32,216.49
212.32,216.49
212.34,216.49
212.34,216.49
212.34,216.455
212.32,216.455
212.32,216.455
212.32,216.42
212.34,216.42
212.32,216.42
212.32,216.42
212.34,216.42
212.34,216.385
212.32,216.385
212.34,216.385
212.34,216.349
212.34,216.349
212.32,216.349
212.32,216.349
212.3,216.349
212.34,216.349
212.32,216.314
212.32,216.314
212.32,216.314
212.32,216.314
212.32,216.279
212.32,216.279
212.34,216.279
212.32,216.279
212.34,216.279
212.3,216.244
212.32,216.244
212.3,216.244
212.32,216.244
212.32,216.244
212.32,216.244
212.32,216.209
212.32,216.244
212.32,216.209
212.3,216.209
212.3,216.209
212.32,216.209
212.3,216.174
212.3,216.174
212.32,216.174
212.32,216.174
212.34,216.174
212.32,216.174
212.3,216.174
212.32,216.139
212.3,216.139
212.32,216.139
212.32,216.139
212.3,216.139
212.32,216.139
212.32,216.139
212.32,216.139
212.3,216.104
212.32,216.104
212.32,216.104
212.3,216.104
212.32,216.104
212.3,216.104
212.3,216.104
212.32,216.104
212.32,216.069
212.32,216.069
212.3,216.069
212.32,216.069
212.3,216.069
212.32,216.069
212.32,216.069
212.32,216.069
212.3,216.069
212.3,216.069
212.3,216.069
212.3,216.034
212.3,216.034
212.32,216.034
212.3,216.034
212.32,216.034
212.3,216.034
212.3,216.034
212.3,216.034
212.28,216.034
212.32,216.034
212.32,215.999
212.32,215.999
212.32,215.999
212.32,215.999
212.3,215.999
212.32,215.999
212.3,215.999
212.3,215.999
212.32,215.999
212.3,215.999
212.32,215.999
212.32,215.999
212.3,215.964
212.3,215.964
212.32,215.964
212.3,215.964
212.3,215.964
212.32,215.964
212.32,215.964
212.32,215.964
212.32,215.929
212.32,215.964
212.3,215.964
212.32,215.964
212.32,215.929
212.32,215.929
212.3,215.929
212.32,215.929
212.32,215.929
212.32,215.929
212.3,215.929
212.3,215.929
212.34,215.929
212.32,215.929
212.32,215.929
212.3,215.894
212.3,215.894
212.32,215.894
212.32,215.894
212.3,215.894
212.3,215.894
212.32,215.894
212.32,215.894
212.3,215.894
212.3,215.894
212.32,215.894
212.32,215.894
212.3,215.859
212.32,215.894
212.3,215.859
212.3,215.894
212.3,215.859
212.32,215.859
212.3,215.859
212.32,215.859
212.3,215.859
212.3,215.859
212.32,215.859
212.32,215.859
212.32,215.859
212.3,215.859
212.3,215.859
212.3,215.859
212.28,215.859
212.3,215.859
212.3,215.859
212.3,215.859
212.32,215.859
212.32,215.859
212.3,215.824
212.3,215.824
212.32,215.824
212.32,215.824
212.3,215.824
212.3,215.824
212.32,215.824
212.3,215.824
212.3,215.824
212.32,215.824
212.3,215.824
212.28,215.789
212.32,215.789
212.32,215.824
212.3,215.789
212.3,215.789
212.3,215.789
212.32,215.789
212.32,215.789
212.32,215.789
212.32,215.789
212.3,215.789
212.3,215.789
212.32,215.789
212.32,215.789
212.32,215.754
212.32,215.754
212.3,215.789
212.3,215.754
212.32,215.754
212.3,215.754
212.3,215.754
212.32,215.754
212.3,215.754
212.3,215.754
212.32,215.754
212.32,215.754
212.34,215.754
212.32,215.754
212.32,215.719
212.3,215.719
212.3,215.719
212.3,215.719
212.32,215.719
212.32,215.719
212.32,215.719
212.3,215.719
212.3,215.719
